,Unnamed: 0,recipe_name,preparation_time,min_portion,max_portion,ingredients,steps,ingredient_count,duration_level,complexity_score
0,0,Ajiaco chileno,40,3,4,"300 grs de carne asada, puede ser más, 2 cucharadas de aceite, 1 cebolla grande o 2 cebollas medianas, 4 papas medianas, 2 ajos, 1 trozo pequeño de pimentón rojo, 1/2 cucharadita de orégano, sal, pimienta a gusto, merkén, ají color, 1 huevo por persona, 2 cucharadas de perejil picado, 1 litro de caldo de carne","1-cortamos la carne en tiras y las papas a lo largo (en juliana). reservar., 2-se corta la cebolla en pluma y se coloca en una olla con el aceite, se fríe por unos minutos, luego agregamos el ajo y el pimentón. enseguida añadir la carne y los aliños (sal, pimienta, ají color, orégano, merkén). luego se echan las papas y finalmente agrega el caldo de carne o agua., 3-se cocina por unos 20 minutos., 4-mientras tanto podemos pochar el huevo o simplemente cocinarlo por 10 minutos en agua hervida., 5-se sirve en un plato hondo y se puede optar por colocar el huevo al principio o al final. luego el caldo y resto de ingredientes. se coloca encima perejil picado y merkén (optativo).",15,duracion Media ,53.69875222816399
1,1,Alfajores chilenos,35,20,20,"1 1/2 taza de harina cernida, 5 yemas, 1 cucharada de coñac o pisco, manjar","1-colocar la harina en un bol y añadir las yemas una a una, y luego lentamente el licor. mezclar bien y formar una masa lisa, firme y seca (en el caso de quedar extremadamente seca, añada pequeñas cantidades de agua)., 2-uslerear la masa dejándola muy delgada; corte círculos de 4 a 5 cms., 3-colocar los alfajores en una lata limpia enmantequillada., 4-llevar a horno precalentado a 400°f (200°c) por 8 a 10 min., 5-unir de a dos con el manjar.",4,duracion Media ,26.24777183600713
2,5,Arroz con leche,35,3,3,"1/2 taza de arroz, 2 1/2 tazas de leche líquida, 1 palito de canela, 1/2 taza de azúcar (puede ser menos o más dependiendo del dulzor que desee), canela en polvo para decorar","1-algunas personas lavan el arroz antes de usarlo, en esta receta no lo hago., 2-colocar el arroz crudo en un olla con 2 tazas de leche y palo de canela. cocinar por unos 25 a 30 minutos, luego agregar el azúcar y cocinar por unos 3 a 5 minutos más. finalmente agregar la media taza de leche fría, revolver bien y apagar. dejar reposar. se puede servir tibio o totalmente frío. decorar con canela en polvo si desea.",5,duracion Media ,28.5204991087344
3,7,Berlines chilenos,45,6,6,"1 sobre de levadura en polvo (7grs/ 2 cucharaditas), 1/4 taza de agua tibia (105°-115°f) (40°-46°c), 60 grs de mantequilla sin sal, 1/2 taza de azúcar granulada, 3 yemas, 3 tazas de harina sin polvos de hornear, 1 taza de leche, 1/2 litro de aceite vegetal, azúcar flor (glas) para espolvorear, 1 litro de leche, 1/2 taza de maicena, 1/2 taza de azúcar granulada, 1/2 cucharadita de esencia de vainilla, 5 yemas","1-en un pequeño bol colocar un poquito de agua, 1/4 de taza está bien con una pizca de azúcar y mezclar con la levadura. dejar reposar por unos 10 minutos., 2-mientras tanto en otro bol o mezcladora, batir la mantequilla con la media taza de azúcar, luego añadir las 3 yemas de huevo., 3-enseguida agregar la mezcla de levadura, y la harina poco a poco alternando con la leche., 4-formar una bola, tapar y dejar reposar unos 25 a 30 minutos., 5-luego dividir la masa en dos., 6-ir formando bolas del tamaño de un puño de mano. colocar sobre una lata cubierta de papel de mantequilla, en el caso que desee hacerlos en el horno., 7-nuevamente dejar reposar los berlines unos 20 minutos., 8-aplastar un poco y calentar el aceite por unos 5 minutos a fuego medio. cuando el aceite esté listo, bajar el nivel al mínimo y freír 6 minutos por lado., 9-si lo desea hornear debe precalentar el horno a 350°f (180°c) y hornear por unos 18 minutos., 10-una vez listos los berlines, hacerles un corte en el medio, pero solo hasta la mitad y rellenarlos con la crema pastelera. espolvorear con azúcar flor (glas)., 11-primero batir las yemas con un poquito de leche, luegro agregar la maicena y un poco más de leche para poder disolver todo bien. reservar., 12-en una olla colocar el resto de leche y azúcar. y un poco antes que comience a hervir, agregar la vainilla y la mezcla de yemas con maicena, la cual se puede colar antes de agregar. y de ahí a fuego bajo comenzar a revolver constantemente para que no se pegue ni forme grumos, continuar hasta que la crema se espese. dejar hervir un minuto y apagar. enfriar antes de usar.",14,duracion Media ,53.87700534759358
4,9,Cachitos con manjar,35,30,30,"500 gr harina sin polvos, 1 pizca de sal, 8 yemas de huevo, 120 gr de mantequilla blanda, 60 ml de vino blanco, 60 ml agua, 1 cucharadita de esencia de vainilla","1-poner la harina en el mesón y formar una corona., 2-colocar en el centro sal, yemas, mantequilla en trozos, vino, agua y vainilla., 3-mezclar todo hasta unir bien y poder comenzar amasar la masa hasta que esté uniforme., 4-formar una bola, envolver en plástico y llevar al refrigerador por 30 minutos., 5-luego dividir en 3 o 2 trozos. y estirar cada trozo de masa con el uslero, dejar la masa delgada, formar un rectángulo., 6-cortar tiras de 20 cm de largo x 2 cm de ancho., 7-enmantequillar los moldes y si no tienen, pueden hacer unos similares con papel de aluminio., 8-envolver cada masa (tira) desde el extremo más delgado al más ancho., 9-llevar al horno precalentado a 180°c (350°f) por 20 minutos., 10-una vez listos, retirar de los moldes y rellenar con manjar.",7,duracion Media ,33.065953654188945
5,10,Calzones rotos,35,6,6,"3 tazas de harina cernida, 1 cucharada polvos de hornear, 3/4 taza de azúcar flor cernida (es el azúcar en polvo), 2 cucharadas de margarina, 1 huevo, 2 yemas, ralladura de 1 limón, 1/2 taza de agua quizás un poco más, aceite para freír, azúcar flor para espolvorear","1-unir los ingredientes secos, la harina, los polvos y azúcar. luego la ralladura de limón., 2-enseguida agregar el huevo y después las yemas una a una., 3-incorporar la mantequilla ablandada y unir bien la masa. finalmente agregar agua suficiente para formar una masa homogénea., 4-uslerear la masa y dejarla aproximadamente 1/2 cm de grosor. cortar rectángulos de 10 cm por 5 cm. luego hacer sobre ellos un corte vertical de unos 3 cm y pasar un extremo del rectángulo por este ojal., 5-freír en aceite caliente, deben quedar dorados., 6-escurrirlos bien y dejarlos en papel absorbente., 7-finalmente espolvorear con azúcar flor.",10,duracion Media ,39.884135472370765
6,12,Cazuela de ave,35,2,2,"2 trutos de pollo, 4 papas medianas, 2 trozos pequeños de zapallo, 1 choclo entero, 1 zanahoria cortada en tiras, 1 trozo pequeño de morron (puede ser verde o rojo), 1 diente de ajo, 1 rama de apio, 1 rama de perejil, 1/2 cebolla, 3/4 taza de surtido de verduritas (porotos verdes y arvejas), sal, pimienta, comino y orégano, perejil a gusto, 4 cucharadas de arroz o 1/2 taza de cabellos de ángel","1-no es necesario hacer un sofrito, ya que al cocer todas las verduras y pollo, suelta los sabores naturales., 2-así que en una olla grande colocamos los trozos de pollo sin cuero, luego las papas enteras peladas, trozos de zapallo, el choclo partido en dos, el ajo entero, así también el trozo de cebolla y el resto de verduras, sal, pimienta, comino, orégano a gusto. y las ramas de apio y perejil enteras., 3-se lleva a cocer con agua tibia o fría y al momento que comienza a hervir se le agrega el arroz, éste al soltar su almidón provoca que el caldo se espese por si solo. y esta cocción dura apróximadamente unos 25 minutos a fuego medio se debe ir revolviendo de vez en cuando. si en el caso que aún le falte cocción al arroz y las papas o el zapallo ya estan listos, se retiran estas dos verduras momentáneamente porque se pueden recocer y luego se vuelven a colocar en el caldo., 4-*también pueden usar cabellos de ángel o sémola en reemplazo del arroz.",16,duracion Media ,53.520499108734406
7,13,Cazuela de pavo con chuchoca,80,4,4,"1 cucharada de aceite, 4 presas de pavo, 1/2 cebolla cortada en dos, 1/2 unidad de pimentón rojo, 2 dientes de ajos pelados, 1 zanahoria pelada y cortada a lo largo, 1/2 cucharita de orégano, 1 cucharadita de ají color (paprika), sal y pímienta a gusto, 4 papas, 4 trozos de zapallo camote, 4 trozos de choclos (maíz) (1 choclo partido en dos o 3), 1 rama de perejil, 1 cucharadita de perejil picado, 3/4 taza de porotos verdes picados, 3 o 4 cucharadas de chuchoca (maíz molido)","1-lavar las presas de pavo y secarlas muy bien., 2-luego en una olla calentar el aceite y sellar las presas de pavo. retirar., 3-en ese mismo aceite, saltear la cebolla y ajo. este proceso dura 2 minutos., 4-agregar las presas de pavo,pimentón, zanahorias y sazonar con sal, pimienta, ají color, orégano, rama de perejil y añadir 1 1/2 litros de agua caliente aproximadamente., 5-cocinar por unos 20 minutos., 6-reducir el calor y añadir las papas enteras peladas, trozos de zapallo, choclos y cocinar por unos 15 minutos , añadir los porotos verdes y cocinar por unos 3 minutos más., 7-luego a fuego medio/bajo añadir la chuchoca en forma de lluvia, revolver muy bien. cocinar unos 4 minutos más., 8-servir en un plato hondo con un trozo de pavo, 1 papa, 1 trozo de zapallo, 1 trozo de choclo, caldo con verduras e idealmente con perejil picado encima.",16,duracion Larga,75.57932263814618
8,15,"Chacarero, sandwich chileno",14,1,1,"1 pan para sandwich, puede usar marraqueta, pan frica también o la receta del blog, 220 grs de carne, puede usar lomo o asiento (carne en láminas delgadas), 4 rodajas de tomate, 1/2 taza de porotos verdes cocidos y cortados a lo largo, 1 cucharada de ají verde picado, 1 cucharada de mayonesa (puede usar mantequilla)","1-en un sartén con un poquito de aceite o en una plancha, cocinar la carne aliñada con un poco de sal. esta carne se cocina rápido. no más allá de 2 minutos por lado, sino quedará seca., 2-abrir el pan y untar cada tapa con mayonesa o mantequilla., 3-colocar en la base del pan los trozos de carne, enseguida el tomate, porotos verdes y ají picado., 4-cerrar el pan y disfrutar!",9,duracion Rapida,27.317290552584677
9,17,Charquicán de cochayuyo,40,4,4,"1 taza de cochayuyo cocido y picado, 4 papas grandes, 2 tazas de zapallo camote, 1 cebolla pequeña picada en cuadros, 1 diente de ajo, 1 trozo de morrón rojo picado, 1 cucharada de aceite, 1 taza de verduritas surtidas cocidas (porotos verdes, zanahorias, arvejas, etc), 1 cucharadita de ají color, ½ cucharadita de orégano, sal y pimienta a gusto","1-para el cochayuyo debe dejarlo remojando la noche anterior con agua y una pizca de vinagre. al siguiente día debe cocinarlo en abundante agua por unos 25 a 30 minutos. estilar y cortar en cuadros., 2-en una olla cocer las papas peladas y picadas con el zapallo, agregar un poco de sal y cocinar por unos 15 minutos. retirar el agua en exceso y moler un poco., 3-mientras se cocinan las papas y el zapallo preparar el sofrito con la cucharada de aceite, freír la cebolla y el ajo por unos 4 a 5 minutos. agregar el morrón rojo y sazonar con el ají color, orégano, sal y pimienta. si desea también puede agregar un poco de comino, pero es totalmente opcional. esto toma unos unos 3 minutos. agregar el cochayuyo, mezclar todo muy bien., 4-añadir esta mezcla a las papas y zapallo. agregar las verduritas elegidas. revolver todo muy bien hasta integrar todos los ingredientes., 5-servir acompañado de un huevo frito o pochado.",14,duracion Media ,51.42602495543672
